comp137089_c1_seq6|m.34971	R_sang_17144
comp135437_c0_seq1|m.29425	R_sang_27970
comp138205_c0_seq3|m.39173	R_sang_23837
comp142441_c0_seq5|m.64233	R_sang_6014
comp138248_c0_seq1|m.39342	R_sang_3717
comp138990_c0_seq4|m.42847	R_sang_27966
comp99013_c0_seq1|m.5007	R_sang_32055
comp143411_c0_seq1|m.72147	R_sang_16072
comp137278_c0_seq1|m.35557	R_sang_390
comp141286_c1_seq44|m.56060	R_sang_256
comp104884_c0_seq1|m.6023	R_sang_22455
comp142615_c0_seq9|m.65834	R_sang_26752
comp115629_c1_seq1|m.8477	R_sang_23167
comp145925_c0_seq2|m.97956	R_sang_16670
comp137146_c0_seq1|m.35136	R_sang_4311
comp145401_c1_seq1|m.92242	R_sang_16314
comp130266_c0_seq1|m.18630	R_sang_23332
comp146260_c1_seq28|m.101260	R_sang_17053
comp94872_c0_seq1|m.4396	R_sang_19949
comp143668_c3_seq4|m.74688	R_sang_9781
comp132902_c0_seq1|m.23126	R_sang_8251
comp142501_c0_seq5|m.64740	R_sang_11520
comp135953_c0_seq6|m.30903	R_sang_9667
comp141657_c0_seq4|m.58904	R_sang_1347
comp140240_c0_seq8|m.49766	R_sang_28507
comp144699_c3_seq2|m.85026	R_sang_3668
comp117460_c0_seq1|m.9106	R_sang_6137
comp125408_c0_seq1|m.13590	R_sang_12843
comp142205_c0_seq4|m.62637	R_sang_20232
comp132888_c0_seq1|m.23086	R_sang_12742
comp137026_c0_seq9|m.34767	R_sang_8501
comp139598_c0_seq3|m.45844	R_sang_3025
comp266417_c0_seq1|m.113457	R_sang_9498
comp131611_c0_seq1|m.20743	R_sang_1067
comp145111_c0_seq9|m.89003	R_sang_7169
comp136547_c1_seq1|m.33005	R_sang_1014
comp143480_c0_seq15|m.72831	R_sang_24421
comp129656_c0_seq1|m.17830	R_sang_29376
comp145642_c0_seq4|m.94832	R_sang_23470
comp135240_c0_seq1|m.28891	R_sang_12346
comp146095_c2_seq6|m.99425	R_sang_6770
comp138516_c0_seq5|m.40544	R_sang_5845
comp126159_c0_seq3|m.14212	R_sang_14250
comp41999_c0_seq1|m.1473	R_sang_56
comp145401_c0_seq6|m.92240	R_sang_12429
comp141890_c1_seq4|m.60908	R_sang_25881
comp109030_c0_seq2|m.6618	R_sang_21331
comp127499_c0_seq1|m.15610	R_sang_18846
comp143367_c0_seq14|m.71652	R_sang_6134
comp132439_c0_seq6|m.22351	R_sang_25871
